Batch Index,Time
598,0.012001
599,0.012036
600,0.012017
601,0.012049
602,0.012005
603,0.012181
604,0.011891
605,0.01197
606,0.012033
607,0.011961
608,0.011967
609,0.011989
610,0.011897
611,0.013813
612,0.011918
613,0.013287
614,0.012038
615,0.011901
616,0.011849
617,0.011879
618,0.011848
619,0.011841
620,0.011906
621,0.011935
622,0.011936
623,0.011905
624,0.011996
625,0.011984
626,0.011796
627,0.012078
628,0.011989
629,0.011969
630,0.012021
631,0.012014
632,0.012
633,0.017107
634,0.011941
635,0.012001
636,0.011996
637,0.011959
638,0.011997
639,0.013719
640,0.011866
641,0.011846
642,0.011871
643,0.011824
644,0.011863
645,0.012082
646,0.011835
647,0.011996
648,0.011983
649,0.011991
650,0.012297
651,0.014849
652,0.011931
653,0.012024
654,0.011998
655,0.01184
656,0.012015
657,0.011955
658,0.012027
659,0.012024
660,0.011974
661,0.012042
662,0.011876
663,0.012206
664,0.011993
665,0.011896
666,0.012027
667,0.012068
668,0.011887
669,0.012035
670,0.013544
671,0.011926
672,0.011976
673,0.011921
674,0.011987
675,0.011989
676,0.011963
677,0.01702
678,0.011876
679,0.011806
680,0.011892
681,0.011841
682,0.011888
683,0.01189
684,0.0119
685,0.011883
686,0.011873
687,0.011931
688,0.011935
689,0.011879
690,0.012
691,0.012019
692,0.011947
693,0.012002
694,0.012089
695,0.011909
696,0.011885
697,0.01203
698,0.01204
699,0.011871
700,0.012054
701,0.012029
702,0.011927
703,0.013957
704,0.016917
705,0.011886
706,0.011931
707,0.011879
708,0.01196
709,0.011974
710,0.011882
711,0.011927
712,0.011992
713,0.011905
714,0.011941
715,0.012035
716,0.011955
717,0.01203
718,0.011955
719,0.012015
720,0.013782
721,0.011866
722,0.013504
723,0.011999
724,0.011902
725,0.011871
726,0.011991
727,0.01201
728,0.011866
729,0.011953
730,0.011892
731,0.013373
732,0.01182
733,0.012029
734,0.011909
735,0.012008
736,0.011953
737,0.011965
738,0.011895
739,0.011875
740,0.011921
741,0.01192
742,0.011906
743,0.011957
744,0.011832
745,0.011788
746,0.012009
747,0.012022
748,0.011905
749,0.012047
750,0.012023
751,0.01193
752,0.013417
753,0.011925
754,0.012126
755,0.012189
756,0.011984
757,0.011938
758,0.011906
759,0.011918
760,0.011913
761,0.011946
762,0.011924
763,0.011979
764,0.011902
765,0.012013
766,0.011964
767,0.011907
768,0.013944
769,0.011926
770,0.011881
771,0.011931
772,0.011929
773,0.011911
774,0.01189
775,0.011823
776,0.011781
777,0.011953
778,0.011972
779,0.012013
780,0.012021
781,0.012032
782,0.011903
783,0.0119
784,0.012
785,0.011989
786,0.013649
787,0.011904
788,0.011895
789,0.011892
790,0.011898
791,0.012021
792,0.011922
793,0.011969
794,0.011927
795,0.01202
796,0.011897
797,0.012028
798,0.012029
799,0.01371
800,0.01191
801,0.011977
802,0.011909
803,0.011928
804,0.011913
805,0.011894
806,0.011944
807,0.011949
808,0.011847
809,0.01203
810,0.013604
811,0.011913
812,0.011923
813,0.011965
814,0.011793
815,0.011771
816,0.011974
817,0.011955
818,0.012021
819,0.012016
820,0.012169
821,0.011887
822,0.01201
823,0.011985
824,0.011874
825,0.012048
826,0.012025
827,0.011959
828,0.012029
829,0.013762
830,0.011906
831,0.011932
832,0.011962
833,0.01224
834,0.012017
835,0.012078
836,0.011899
837,0.01208
838,0.014403
839,0.011887
840,0.011987
841,0.011904
842,0.011864
843,0.01199
844,0.011996
845,0.011916
846,0.012052
847,0.01201
848,0.013561
849,0.011866
850,0.011905
851,0.011901
852,0.011769
853,0.011946
854,0.011919
855,0.01185
856,0.011918
857,0.011911
858,0.011877
859,0.011907
860,0.011886
861,0.011902
862,0.011908
863,0.011996
864,0.011913
865,0.011863
866,0.012037
867,0.012023
868,0.012235
869,0.012053
870,0.014047
871,0.011924
872,0.011936
873,0.011994
874,0.011849
875,0.013542
876,0.011938
877,0.011912
878,0.01193
879,0.011953
880,0.011851
881,0.011928
882,0.011973
883,0.011932
884,0.011985
885,0.012028
886,0.011989
