Batch Index,inference(ms),cuda_graph(ms),diff,inference sum,cuda graph sum
128,0.011841,0.011706,0.000135,1.7248460000000008,1.7243929999999994
129,0.011661,0.01168,-1.9e-05,1.7365070000000007,1.7360729999999993
130,0.011848,0.011848,0.0,1.7483550000000008,1.7479209999999994
131,0.011858,0.011767,9.1e-05,1.7602130000000007,1.7596879999999995
132,0.011834,0.011687,0.000147,1.7720470000000006,1.7713749999999995
133,0.011795,0.011643,0.000152,1.7838420000000006,1.7830179999999995
134,0.01173,0.011749,-1.9e-05,1.7955720000000006,1.7947669999999996
135,0.011881,0.011823,5.8e-05,1.8074530000000006,1.8065899999999995
136,0.011796,0.011734,6.2e-05,1.8192490000000006,1.8183239999999994
137,0.011815,0.011677,0.000138,1.8310640000000005,1.8300009999999993
138,0.011876,0.011772,0.000104,1.8429400000000005,1.8417729999999992
139,0.011793,0.011779,1.4e-05,1.8547330000000004,1.8535519999999992
140,0.01179,0.011655,0.000135,1.8665230000000004,1.8652069999999992
141,0.011836,0.011666,0.00017,1.8783590000000003,1.8768729999999991
142,0.011955,0.011715,0.00024,1.8903140000000003,1.888587999999999
143,0.01179,0.011614,0.000176,1.9021040000000002,1.900201999999999
144,0.011843,0.011764,7.9e-05,1.9139470000000003,1.9119659999999992
145,0.011865,0.01188,-1.5e-05,1.9258120000000003,1.923845999999999
146,0.011879,0.011792,8.7e-05,1.9376910000000003,1.935637999999999
147,0.011862,0.011706,0.000156,1.9495530000000003,1.947343999999999
148,0.011869,0.011797,7.2e-05,1.9614220000000002,1.9591409999999991
149,0.011899,0.011813,8.6e-05,1.9733210000000003,1.9709539999999992
150,0.011807,0.011851,-4.4e-05,1.9851280000000002,1.9828049999999993
151,0.011846,0.011708,0.000138,1.9969740000000002,1.9945129999999993
152,0.011888,0.011737,0.000151,2.008862,2.006249999999999
153,0.011931,0.0118,0.000131,2.0207930000000003,2.0180499999999992
154,0.012656,0.011889,0.000767,2.033449,2.0299389999999993
155,0.012108,0.011763,0.000345,2.045557,2.0417019999999995
156,0.011905,0.011827,7.8e-05,2.057462,2.0535289999999993
157,0.01185,0.011789,6.1e-05,2.069312,2.065317999999999
158,0.012002,0.01331,-0.001308,2.081314,2.0786279999999993
159,0.011997,0.012051,-5.4e-05,2.093311,2.0906789999999993
160,0.011908,0.012121,-0.000213,2.105219,2.1027999999999993
161,0.011984,0.011775,0.000209,2.117203,2.1145749999999994
162,0.011983,0.011751,0.000232,2.129186,2.1263259999999993
163,0.011931,0.011833,9.8e-05,2.141117,2.1381589999999995
164,0.011967,0.011625,0.000342,2.1530839999999998,2.1497839999999995
165,0.012009,0.011837,0.000172,2.1650929999999997,2.1616209999999993
166,0.012062,0.011884,0.000178,2.1771549999999995,2.173504999999999
167,0.012062,0.011722,0.00034,2.1892169999999993,2.185226999999999
168,0.011951,0.011847,0.000104,2.201167999999999,2.197073999999999
169,0.012017,0.011697,0.00032,2.2131849999999993,2.2087709999999987
170,0.012065,0.011833,0.000232,2.2252499999999995,2.220603999999999
171,0.012061,0.01182,0.000241,2.2373109999999996,2.232423999999999
172,0.011987,0.01176,0.000227,2.2492979999999996,2.2441839999999993
173,0.012021,0.011852,0.000169,2.2613189999999994,2.2560359999999995
174,0.012049,0.011849,0.0002,2.2733679999999996,2.2678849999999997
175,0.012027,0.011957,7e-05,2.2853949999999994,2.279842
176,0.011898,0.011821,7.7e-05,2.2972929999999994,2.291663
177,0.012061,0.011761,0.0003,2.3093539999999995,2.3034239999999997
178,0.011955,0.01172,0.000235,2.3213089999999994,2.3151439999999996
179,0.012111,0.011862,0.000249,2.3334199999999994,2.3270059999999995
180,0.01201,0.011788,0.000222,2.3454299999999995,2.3387939999999996
181,0.012012,0.011824,0.000188,2.3574419999999994,2.3506179999999994
182,0.011961,0.011842,0.000119,2.3694029999999993,2.3624599999999996
183,0.012004,0.011751,0.000253,2.3814069999999994,2.3742109999999994
184,0.011989,0.011745,0.000244,2.393395999999999,2.3859559999999993
185,0.012065,0.01189,0.000175,2.4054609999999994,2.3978459999999995
186,0.011919,0.011976,-5.7e-05,2.417379999999999,2.4098219999999997
187,0.012075,0.011821,0.000254,2.429454999999999,2.4216429999999995
188,0.012002,0.011889,0.000113,2.441456999999999,2.4335319999999996
189,0.011976,0.011962,1.4e-05,2.453432999999999,2.4454939999999996
190,0.01203,0.011786,0.000244,2.4654629999999993,2.4572799999999995
191,0.011968,0.01184,0.000128,2.4774309999999993,2.4691199999999993
192,0.011949,0.011941,8e-06,2.4893799999999993,2.4810609999999995
193,0.013661,0.01353,0.000131,2.503040999999999,2.4945909999999993
194,0.012036,0.011848,0.000188,2.5150769999999993,2.5064389999999994
195,0.01206,0.011846,0.000214,2.5271369999999993,2.518284999999999
196,0.012051,0.011827,0.000224,2.5391879999999993,2.530111999999999
197,0.012014,0.011907,0.000107,2.5512019999999995,2.542018999999999
198,0.011968,0.011875,9.3e-05,2.5631699999999995,2.5538939999999988
199,0.012035,0.011896,0.000139,2.5752049999999995,2.565789999999999
200,0.012121,0.011965,0.000156,2.5873259999999996,2.577754999999999
201,0.012054,0.011833,0.000221,2.5993799999999996,2.589587999999999
202,0.012021,0.011894,0.000127,2.6114009999999994,2.601481999999999
203,0.011932,0.011835,9.7e-05,2.6233329999999992,2.613316999999999
204,0.011976,0.011775,0.000201,2.6353089999999995,2.625091999999999
205,0.011989,0.012327,-0.000338,2.6472979999999993,2.637418999999999
206,0.012078,0.011959,0.000119,2.659375999999999,2.649377999999999
207,0.014044,0.013666,0.000378,2.6734199999999992,2.6630439999999993
208,0.011958,0.011879,7.9e-05,2.685377999999999,2.6749229999999993
209,0.01195,0.011739,0.000211,2.6973279999999993,2.686661999999999
210,0.011976,0.011915,6.1e-05,2.7093039999999995,2.6985769999999993
211,0.012183,0.011969,0.000214,2.7214869999999993,2.7105459999999995
212,0.011989,0.011893,9.6e-05,2.733475999999999,2.7224389999999996
213,0.011964,0.011843,0.000121,2.745439999999999,2.7342819999999994
214,0.011958,0.011816,0.000142,2.757397999999999,2.7460979999999995
215,0.014693,0.014427,0.000266,2.7720909999999988,2.7605249999999995
216,0.012069,0.011884,0.000185,2.7841599999999986,2.7724089999999992
217,0.012034,0.011892,0.000142,2.7961939999999985,2.7843009999999992
218,0.012068,0.011743,0.000325,2.8082619999999987,2.7960439999999993
219,0.012002,0.011873,0.000129,2.8202639999999985,2.8079169999999993
220,0.011974,0.011844,0.00013,2.8322379999999985,2.8197609999999993
221,0.013056,0.011869,0.001187,2.8452939999999987,2.831629999999999
222,0.01678,0.011877,0.004903,2.8620739999999985,2.8435069999999993
223,0.025516,0.023882,0.001634,2.8875899999999985,2.8673889999999993
224,0.020269,0.020272,-3e-06,2.9078589999999984,2.887660999999999
225,0.012106,0.011872,0.000234,2.9199649999999986,2.899532999999999
226,0.011998,0.011866,0.000132,2.9319629999999988,2.911398999999999
227,0.03401,0.033044,0.000966,2.9659729999999986,2.944442999999999
228,0.012038,0.01186,0.000178,2.9780109999999986,2.956302999999999
229,0.012008,0.011844,0.000164,2.9900189999999984,2.9681469999999988
230,0.011929,0.01178,0.000149,3.0019479999999983,2.9799269999999987
231,0.012116,0.011886,0.00023,3.014063999999998,2.9918129999999987
232,0.012044,0.011907,0.000137,3.026107999999998,3.0037199999999986
233,0.011991,0.011843,0.000148,3.038098999999998,3.0155629999999984
234,0.011974,0.011871,0.000103,3.050072999999998,3.0274339999999986
235,0.011972,0.01186,0.000112,3.062044999999998,3.0392939999999986
236,0.011999,0.01181,0.000189,3.074043999999998,3.0511039999999987
237,0.011966,0.011798,0.000168,3.086009999999998,3.062901999999999
238,0.012044,0.011838,0.000206,3.098053999999998,3.074739999999999
239,0.012025,0.011826,0.000199,3.110078999999998,3.086565999999999
