Batch Index,Time
306,0.011556
307,0.011358
308,0.011395
309,0.011412
310,0.011395
311,0.011346
312,0.011345
313,0.051136
314,0.016469
315,0.011381
316,0.011406
317,0.011352
318,0.011377
319,0.011346
320,0.011476
321,0.011532
322,0.011407
323,0.011413
324,0.011415
325,0.011432
326,0.011331
327,0.012744
328,0.011326
329,0.011333
330,0.061658
331,0.011543
332,0.011416
333,0.011329
334,0.011541
335,0.011335
336,0.011488
337,0.0113
338,0.011325
339,0.011545
340,0.011298
341,0.011536
342,0.013268
343,0.011352
344,0.011439
345,0.011247
346,0.011325
347,0.011327
348,0.011318
349,0.011337
350,0.011274
351,0.011339
352,0.01128
353,0.011438
354,0.011324
355,0.011274
356,0.011514
357,0.011367
358,0.011523
359,0.011352
360,0.011426
361,0.011473
362,0.011297
363,0.011399
364,0.011367
365,0.011316
366,0.011437
367,0.011429
368,0.011517
369,0.011346
370,0.01144
371,0.011379
372,0.011423
373,0.01144
374,0.011507
375,0.011474
376,0.011474
377,0.011529
378,0.061602
379,0.01154
380,0.011383
381,0.050924
382,0.011592
383,0.011368
384,0.011369
385,0.011342
386,0.011267
387,0.011403
388,0.011308
389,0.064877
390,0.011545
391,0.011369
392,0.01138
393,0.011489
394,0.011299
395,0.011755
396,0.011326
397,0.011491
398,0.011349
399,0.011326
400,0.011451
401,0.011404
402,0.011461
403,0.011366
404,0.011338
405,0.011418
406,0.011383
407,0.011412
408,0.011456
409,0.07095
410,0.011567
411,0.011453
412,0.01146
413,0.01146
414,0.011321
415,0.054099
416,0.01144
417,0.011354
418,0.011344
419,0.011312
420,0.057287
421,0.011517
422,0.011323
423,0.011322
424,0.011384
425,0.011287
426,0.011737
427,0.011326
428,0.011477
429,0.011332
430,0.011294
431,0.011395
432,0.01138
433,0.01154
434,0.011337
435,0.011412
436,0.011405
437,0.011348
438,0.011443
439,0.052104
440,0.011538
441,0.071301
442,0.011363
443,0.011394
444,0.011318
445,0.011393
446,0.011498
447,0.011359
448,0.011354
449,0.011371
450,0.011396
451,0.011449
452,0.011376
453,0.011387
454,0.011465
